"","ID","period_id","n"
"309",NA,8,13
"310",NA,9,18
"311",NA,10,22
"312",NA,11,17
"313",NA,12,13
"314",NA,13,9
"315",NA,14,11
"316",NA,15,15
"317",NA,16,10
"318",NA,17,10
"319",NA,18,6
"320",NA,19,10
"321",NA,20,9
"322",NA,21,14
"323",NA,22,16
"324",NA,23,6
"325",NA,24,6
"326",NA,25,5
"327",NA,26,8
"328",NA,27,16
"329",NA,28,12
"330",NA,29,12
"331",NA,30,14
"332",NA,31,14
"333",NA,32,13
"334",NA,33,8
"335",NA,34,8
"336",NA,35,7
"337",NA,36,7
