year_id,period_id,origin,destination,period,start,end
330_2022,1,1,1,864000,2020-01-01,2020-01-11
347_2018,1,2,2,864000,2020-01-01,2020-01-11
354_2018,1,2,2,864000,2020-01-01,2020-01-11
354_2019,1,1,1,864000,2020-01-01,2020-01-11
374_2017,1,0,0,864000,2020-01-01,2020-01-11
374_2018,1,1,1,864000,2020-01-01,2020-01-11
390_2018,1,3,3,864000,2020-01-01,2020-01-11
421_2017,1,0,0,864000,2020-01-01,2020-01-11
433_2017,1,0,0,864000,2020-01-01,2020-01-11
433_2018,1,1,1,864000,2020-01-01,2020-01-11
433_2019,1,1,1,864000,2020-01-01,2020-01-11
444_2018,1,2,2,864000,2020-01-01,2020-01-11
451_2017,1,0,0,864000,2020-01-01,2020-01-11
451_2018,1,1,1,864000,2020-01-01,2020-01-11
451_2019,1,1,1,864000,2020-01-01,2020-01-11
451_2020,1,1,1,864000,2020-01-01,2020-01-11
451_2021,1,1,1,864000,2020-01-01,2020-01-11
451_2022,1,1,1,864000,2020-01-01,2020-01-11
451_2023,1,1,1,864000,2020-01-01,2020-01-11
465_2017,1,0,0,864000,2020-01-01,2020-01-11
465_2018,1,1,1,864000,2020-01-01,2020-01-11
469_2021,1,3,1,864000,2020-01-01,2020-01-11
487_2018,1,0,0,864000,2020-01-01,2020-01-11
487_2019,1,1,1,864000,2020-01-01,2020-01-11
487_2020,1,1,1,864000,2020-01-01,2020-01-11
487_2021,1,1,1,864000,2020-01-01,2020-01-11
487_2022,1,1,1,864000,2020-01-01,2020-01-11
487_2023,1,1,1,864000,2020-01-01,2020-01-11
490_2019,1,1,1,864000,2020-01-01,2020-01-11
490_2021,1,5,1,864000,2020-01-01,2020-01-11
492_2021,1,1,1,864000,2020-01-01,2020-01-11
495_2018,1,0,0,864000,2020-01-01,2020-01-11
495_2019,1,1,1,864000,2020-01-01,2020-01-11
495_2020,1,1,1,864000,2020-01-01,2020-01-11
504_2019,1,2,2,864000,2020-01-01,2020-01-11
507_2018,1,0,0,864000,2020-01-01,2020-01-11
508_2018,1,0,0,864000,2020-01-01,2020-01-11
508_2019,1,,,864000,2020-01-01,2020-01-11
509_2018,1,0,0,864000,2020-01-01,2020-01-11
509_2019,1,1,1,864000,2020-01-01,2020-01-11
509_2020,1,1,1,864000,2020-01-01,2020-01-11
509_2021,1,1,1,864000,2020-01-01,2020-01-11
511_2018,1,0,0,864000,2020-01-01,2020-01-11
